vs@0,vs@1,vs@2,vs@3,vs@4,vs@5,vs@6,vs@7,vs@8,vs@9,vs@10,vs@11,vs@12,vs@13,vs@14,vs@15,vs@16,vs@17,vs@18,vs@19,vs@20,vs@21,vs@22,vs@23,vs@24,vs@25,vs@26,vs@27,vs@28,vs@29,vs@30
430.7898,526.167,502.4651,506.59137,514.77673,513.7201,521.91144,533.2853,550.74713,549.3147,561.39417,560.0449,594.6511,593.37665,623.10004,631.4017,640.3515,654.6646,662.427,684.8408,718.0397,733.08344,726.3004,747.01556,746.00696,791.64923,803.7451,788.49274,825.1143,824.20746,828.5179
661.3022,666.3086,648.18195,640.14,648.11194,652.6817,659.67505,661.0589,677.1744,673.32336,684.96277,694.4088,718.1694,743.0173,760.5036,768.20807,782.1717,793.331,795.6389,815.31384,848.7915,857.84485,855.00476,877.9377,883.09424,918.7604,950.9881,942.15576,955.28394,970.51935,980.5251
484.74768,466.4856,492.50537,497.3187,511.50247,507.73434,518.4355,520.6478,528.4881,539.7548,552.0521,554.91473,587.1787,603.758,622.6196,639.225,660.96045,676.1288,688.6985,714.80884,753.89716,771.4574,773.50726,795.18256,798.006,841.3868,860.41785,859.15674,881.25226,878.2788,884.2419
328.53757,501.2745,391.1036,485.56458,400.90622,467.50604,423.3326,474.39957,450.48636,482.575,464.76794,485.91092,509.49792,506.2251,552.514,545.58417,582.12695,577.8197,599.9833,619.6462,654.74115,665.7576,661.08655,698.40686,679.241,743.54065,736.6537,765.95856,747.3373,776.26013,741.61066
388.93118,362.72388,361.491,355.56287,360.02945,368.928,369.24594,364.93555,380.30374,380.55362,397.3431,412.3125,415.85114,429.9305,440.66608,451.1109,462.69302,470.20984,483.1945,498.2123,508.67563,534.7304,538.5337,552.606,550.13245,585.7642,605.0766,590.99713,613.16644,618.86365,621.23376
735.08514,669.4245,589.22656,533.8007,521.83026,519.9454,507.77887,495.67203,510.56595,506.37695,543.61127,553.9449,562.5497,590.81805,605.94403,612.902,622.00586,629.72754,634.7219,657.3721,676.53723,689.58136,686.1173,706.4693,709.4904,749.4939,772.19403,758.8545,782.9413,794.442,814.72046
440.9508,517.2457,507.35498,505.8063,514.68616,515.87463,523.52795,534.64124,552.928,549.9657,564.2494,562.9963,593.88696,596.6342,622.4535,630.9581,638.55505,652.1349,660.0823,680.8925,712.27936,729.4127,723.313,741.2471,738.40546,784.6529,795.9539,774.24786,814.2187,816.20135,822.73834
691.6051,625.36487,631.683,649.515,666.8066,662.7912,683.1668,693.31604,705.5433,702.5714,713.12915,718.055,747.2769,768.8432,781.79425,796.33606,810.73083,821.6829,820.69183,845.53894,882.86163,886.0944,880.30005,898.7947,897.61035,939.45886,955.823,943.4072,977.3811,992.2331,1003.42084
331.59995,425.65613,455.7964,437.75864,449.87607,441.88043,455.1288,458.52966,471.6388,473.58905,484.3202,487.36234,517.4341,517.62274,545.9222,560.14307,575.2118,588.92773,601.879,626.6497,657.79224,679.94324,674.15485,691.50085,683.06604,742.21375,729.04083,734.653,773.3031,750.1832,769.9645
335.71265,415.35013,447.8657,434.0038,441.91666,435.87015,447.24463,449.91312,462.5301,464.39087,475.84973,479.76013,506.81293,511.29514,535.7911,550.49927,566.1578,580.41,593.8412,617.2717,648.7247,673.1282,668.6224,684.0862,675.894,732.2391,724.6865,721.596,763.15894,744.2455,759.53424
624.77124,558.12537,568.1775,577.1764,582.1708,584.28705,593.4747,605.3372,620.7089,616.7097,628.6771,630.49066,658.0985,664.35547,688.1578,700.45056,709.895,722.2194,728.08234,754.3513,787.12067,797.6068,790.9664,811.03,811.25946,856.45776,874.024,858.19446,890.43164,900.584,906.98126
584.8696,576.4744,573.1084,572.3126,584.56354,589.3832,597.51764,601.70514,616.6201,613.8108,628.6973,633.44476,654.97894,670.8006,689.29364,699.0554,710.7672,721.69824,727.9939,750.4572,783.6057,798.45483,795.59705,814.39984,813.67303,854.6673,875.5522,861.56885,885.41003,896.8938,908.9281
282.58054,252.73314,258.9895,262.59653,262.40588,279.99265,281.3366,282.2477,292.01898,294.83685,291.7136,317.50198,335.88727,342.4819,355.4735,361.93002,374.55313,379.4253,389.19525,405.0164,413.26654,435.74332,442.4995,455.9398,450.68527,464.74042,473.32562,485.3977,497.90527,498.9865,502.57047
302.9957,269.08127,274.23117,274.46747,275.9724,293.26447,295.41876,295.67712,304.331,310.05957,307.8528,332.30286,349.6649,357.04,369.5951,377.02332,389.20645,395.23422,405.04007,422.64075,430.90472,453.72256,462.4645,474.02197,470.66196,487.4171,498.4936,506.93237,520.4278,522.86194,525.5748
326.84286,354.4771,356.40356,350.9044,354.32257,360.76926,362.0373,359.48392,373.5966,377.09564,388.63828,403.83755,411.95587,423.92966,436.7797,447.68616,460.68716,469.3232,484.00323,498.20517,513.4625,541.7939,544.3994,558.09595,554.48895,590.0935,608.7561,595.2386,618.10126,621.8081,621.4974
305.49112,282.54858,294.34875,293.87704,296.54517,309.38324,311.06796,311.7724,319.853,329.70078,328.25208,350.28506,368.73767,376.87646,388.69882,397.75638,411.40884,417.62054,429.79373,447.08383,459.0125,484.2656,494.20847,504.60522,502.99014,523.52057,543.8283,544.25525,557.3865,561.50104,557.7003
379.90897,377.0694,365.79495,357.4524,362.0561,374.857,373.47574,367.87305,386.3564,382.4628,403.7938,418.11694,417.18823,430.028,440.2821,449.78162,458.43445,463.09937,475.97974,490.7961,495.8311,520.6974,525.0862,535.1495,531.19635,569.6501,582.6246,566.1675,592.6603,601.1263,609.0881
278.96353,263.6709,277.58774,278.20346,279.36652,295.25128,296.1819,297.0315,305.35745,312.63947,308.3769,333.44623,352.69482,359.15,372.61093,380.1083,393.1366,399.68137,410.33463,427.9145,437.3485,461.29706,470.59824,481.45868,478.89944,495.129,510.33316,517.4472,528.3481,531.08057,531.34106
284.27304,391.2543,371.74725,362.0855,366.26334,376.05914,372.75903,368.5162,386.7017,386.38547,402.54782,417.72818,421.45206,432.5636,445.55402,456.29816,466.6662,473.28537,489.86548,504.34647,514.752,540.74115,544.3304,553.435,547.641,587.16254,600.55365,582.7076,610.45636,618.04425,624.3384
269.22275,251.84087,266.22415,268.8577,269.0522,286.0391,285.97952,287.25684,296.5237,300.8559,296.5239,323.29007,342.0703,347.8276,361.62497,368.2091,381.4863,387.2002,397.4132,414.11316,423.14542,446.40787,453.6852,466.33432,462.663,476.7554,489.03455,500.1461,509.88745,511.75955,513.2149
275.66364,388.4361,363.47684,354.73645,359.00394,369.85117,366.2951,362.17484,380.2938,380.7197,395.97287,411.5486,414.74536,424.98627,438.22403,448.6914,459.24844,464.767,481.4785,495.97382,505.07568,531.2128,535.41064,544.29596,539.63837,578.54156,592.33997,575.683,602.32623,610.17206,615.15845
284.0048,398.0083,377.9242,368.13416,372.9815,382.20126,378.18185,374.39908,393.11743,391.96063,408.8042,423.7362,427.50482,438.98642,452.5322,463.69794,473.90567,481.48184,498.55063,513.3881,525.3292,551.6113,554.07465,563.48596,557.53705,597.908,611.8573,592.9575,621.4683,628.5145,634.14136
281.6199,383.05365,362.48373,353.58682,357.63712,368.33652,365.6532,361.42398,378.96048,379.52322,394.79904,410.4302,413.73154,424.22574,436.94522,447.26044,457.71848,463.13263,479.23535,493.53506,502.4217,528.3592,532.97,541.82404,537.07056,575.39703,589.0642,572.76935,599.1328,607.13965,612.65173
671.8532,606.0174,599.5953,606.3284,614.41705,612.8856,622.27966,627.60504,640.2301,643.18317,653.84235,657.5119,684.87305,700.71234,719.8378,733.2402,748.06433,759.7881,763.8954,791.6158,829.502,837.1752,832.93835,856.63477,864.56415,904.5586,933.43304,932.65247,949.7734,960.1286,962.563
321.10416,343.88052,348.14554,343.59955,347.62927,354.93933,356.32236,354.17566,367.5429,371.64862,382.39493,398.2378,406.1356,417.8475,430.3448,440.9848,454.01785,461.91702,476.117,490.3783,504.44946,532.75726,536.4366,549.8944,547.03766,581.22156,600.96686,588.5623,609.53125,613.8109,612.321
