z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63,StationID
-0.12189487,0.04864183,0.03802681,-0.013313096,-0.082743,0.15996236,0.10123606,0.004935883,-0.14484228,-0.089831725,-0.13202944,0.03534475,0.07036866,-0.080305666,0.047515318,-0.052822985,0.08357476,0.10511894,-0.048036665,0.036151133,0.08469541,0.07943706,0.15934789,2.4965181,0.0036733244,0.13218388,0.12874795,0.04477495,-0.9642676,0.020715648,-0.10692917,-0.031243686,-0.09164396,0.004726153,0.11492293,-0.31320804,-0.34205124,-0.030150305,-0.03858169,0.014590612,0.11426916,0.14975949,-0.033336543,0.14620046,-0.098831356,0.010382665,0.18308693,-0.14530805,0.007748546,0.13124445,0.005309187,-0.19592226,-0.20869361,-0.10900825,0.022721251,0.015199676,0.024200737,-0.07076826,-0.14255193,0.034334794,-0.11762638,0.0084337,0.08360618,0.009853829,119
0.02796958,0.030902652,0.08948265,0.007091198,-0.022655569,-0.059521556,0.028671525,0.002916038,0.010613585,-0.004060842,0.028358126,-0.051864788,-0.1351628,-0.022819873,-0.11289638,0.026027791,0.08737378,-0.17289442,-0.23286355,0.05403708,0.04543987,0.03473386,-0.025299467,0.68278265,0.15972313,0.09901741,-0.038341723,-0.05337505,-2.9366257,0.10138088,-0.04551136,-0.055010084,0.060358547,-0.049709186,-0.019651018,-0.05436091,-0.30920127,-0.041727446,-0.08066502,0.017014794,0.02667538,0.28211784,0.014176952,-0.051137157,-0.07181823,-0.04212379,0.11016691,-0.005788725,-0.048751816,-0.0017522797,0.035271645,-0.08786018,-0.12752788,-0.019854516,0.011369964,0.045145273,0.029111698,-0.08679938,0.014623903,0.010723088,-0.036127113,0.045585327,0.088337824,0.0035648718,122
-0.04965184,0.012165589,-0.001410529,0.08764966,-0.007740807,0.025891963,0.017792232,0.026965067,-0.08720418,-0.004416287,0.004948752,-0.009002626,0.001733467,-0.034790177,0.017565802,-0.07520235,0.07096146,0.0039759353,0.08111125,0.05849742,-0.022138767,-0.012954578,0.02382826,-0.9221316,-0.014198368,-0.026400901,-0.11759636,-0.002861932,0.06388268,-0.04096047,0.093596235,0.10588099,-0.068317406,0.0022563636,0.0016288841,0.025484696,-0.061527148,0.0015131459,-0.12083736,-0.011386476,0.12636986,-0.031227395,0.07816495,-0.060162082,0.08484829,0.06592127,-0.11332844,-0.025449496,0.00422536,0.0033700466,-0.040830873,0.03212779,-0.027603641,0.0930445,-0.01793521,-0.021222796,0.04071328,0.037276085,-0.0714856,0.024012111,0.08893227,-0.13138768,0.059932776,0.031346615,123
-0.12136952,-0.0012141634,-0.057066396,0.103459865,0.012695253,0.2846624,0.25691056,-0.33247602,-0.23927093,-0.12989001,-0.25222173,-0.017286628,0.06155874,-0.008807894,-0.1658988,0.08051869,0.1308975,-0.28105813,0.44092104,0.38493454,-0.029857956,0.15594299,-0.055861324,-0.79521954,0.08007506,0.030135028,0.10375072,0.05610466,-3.4682071,-0.03744816,0.20579953,-0.07630265,-0.15065321,0.05734078,0.0008730972,-0.1145588,-0.5325193,0.08753606,-0.30312234,-0.027830305,0.08602268,0.5775285,0.106679924,0.23584984,0.039957106,-0.030906925,0.013618693,-0.32013208,0.028303416,-0.04699739,-0.07698877,-0.23493901,-0.21779886,-0.38968402,0.09683888,-0.14897177,0.39528033,0.20467715,-0.26374114,0.067010604,-0.06305169,0.0062500164,0.14544252,0.24622424,124
-0.012280352,0.021565361,0.03376621,-0.008388869,0.024565816,0.07156092,0.006119121,-0.011687808,0.046309665,0.051631987,0.039061435,-0.06375199,0.01389771,0.03883652,0.048563734,0.0044648573,-0.00542992,-0.018780425,-0.071254045,-0.092879206,0.010374181,-0.06273436,0.01722201,1.0632327,-0.042456783,0.011823848,-0.012886386,0.026389867,1.0432504,0.09139406,0.019075267,0.020239,-0.016338706,0.06143985,0.052962236,0.013134375,0.0798026,-0.07438693,-0.0023888052,-0.035748236,0.032334544,-0.029464394,0.07508639,0.017492816,0.01527746,0.000813534,0.007988468,-0.04519252,-0.028515985,0.037232324,-0.024586126,0.05250036,0.084351555,0.021571148,0.04868217,-0.007867895,-0.087524906,-0.019019539,0.014944486,-0.015465729,-0.013687225,-0.01613028,-0.024482697,-0.08855882,126
0.07998864,-0.17097826,0.12647307,0.0013857968,0.14578995,0.0069028623,0.007962018,-0.0046178214,0.06689968,0.16974458,0.21521056,-0.08683118,-0.05154568,0.027837258,0.009758152,-0.09952105,-0.13021493,0.025514364,-0.06289533,-0.090704456,-0.10221625,-0.050399646,-0.06479617,0.17902382,-0.1235045,0.0106448755,-0.049653824,-0.047078,-1.4535382,0.047408156,0.094361395,0.161241,0.016745526,-0.006492242,-0.1260378,0.2811872,0.0659916,0.06387357,0.16643983,0.03868194,0.040601693,0.13456006,0.05475284,-0.16528389,0.05816293,0.07882243,-0.10899031,0.08130294,0.0125934575,0.042511523,0.017392684,0.071699224,0.063370705,0.14666902,-0.020804944,0.087362625,-0.10472135,-0.09705435,0.19921434,-0.00859756,0.1269378,-0.16549388,0.021660637,0.0071775652,127
-0.097436406,0.04927203,0.051775172,-0.0359565,-0.08408865,0.14621809,0.10914531,0.0046328455,-0.15715541,-0.0751736,-0.10971387,0.040303364,0.095549464,-0.061219003,0.04861629,-0.060031027,0.03707554,0.10854817,-0.041138485,0.017867096,0.08175552,0.0481956,0.19825652,2.4237702,-0.0037056264,0.14007771,0.14160009,0.054800473,-0.88502884,0.015581006,-0.08480936,-0.04941537,-0.07066056,0.013285205,0.094917886,-0.35250828,-0.28084755,-0.047605738,-0.0031370074,0.000701793,0.09958727,0.20806676,-0.010775974,0.14583495,-0.08194548,0.005825003,0.18261674,-0.13644633,0.009260332,0.13492683,-0.0064023808,-0.16810432,-0.20609792,-0.12557907,0.024259442,0.02071904,0.01865793,-0.05046503,-0.12234341,0.047089994,-0.11510523,-0.0020824745,0.056372963,0.0037882961,128
-0.019867219,0.050011396,-0.12154992,0.0056256205,-0.065849885,-0.030333087,-0.10429041,-0.01594174,0.098821335,-0.105695695,-0.09251726,-0.010511115,0.05118178,0.017859567,-0.039987862,0.09083299,0.17470093,0.10851207,0.031051423,0.08447072,0.11152578,0.03746496,-0.061223827,2.222844,-0.058413677,-0.07465453,0.0073950365,0.037052415,-1.2586485,0.0045871083,-0.053126033,-0.048619762,-0.037164286,-0.0036259815,0.079653285,0.086109266,0.104370974,0.039469674,-0.07576753,-0.052559882,-0.057531714,-0.2539814,-0.14884417,0.011685535,0.029208437,-0.009752108,0.051394463,-0.05468547,0.07732406,-0.00999821,-0.12133569,-0.11585272,0.047698736,-0.048996896,-0.053565476,-0.05287857,0.015049696,-0.08551894,0.022030205,-0.0894287,0.0036831405,0.061102457,-0.015353747,0.0037250333,129
-0.1814524,0.07921336,-0.21451733,0.12742986,0.08257238,0.41617578,0.15290235,-0.18914942,-0.1984265,-0.11212109,0.07750374,0.18404989,0.03658369,0.008081604,-0.037235364,0.14128855,0.22973134,-0.19102731,0.88424873,0.21985903,-0.039516665,0.026665017,-0.17750984,-1.7451087,-0.34403837,0.04912197,0.077980354,0.06566881,-2.301581,-0.1374896,0.21860713,0.03974652,-0.1283451,-0.14579038,0.230551,-0.00638996,-0.30388117,-0.110897,-0.62185735,0.24080919,0.16126153,0.47497427,0.22149238,0.33792043,0.0034248754,-0.012096563,-0.14161947,-0.11969562,0.091442764,0.15895098,-0.20508075,0.073846646,-0.19161801,-0.334051,0.10371911,-0.21023357,0.33455956,0.19428812,-0.17384478,0.22147846,0.12900239,-0.123816036,0.11702495,0.22329399,201
-0.037440494,0.035841316,0.06645149,0.122596174,0.046983175,-0.07503192,-0.001587078,0.015582249,0.003170909,-0.010975704,0.036448628,0.011243537,-0.090550676,-0.03547028,-0.08827774,-0.028140426,0.08742078,-0.18135014,-0.119748175,0.02014859,-0.016867809,0.039647594,-0.051940955,0.47483975,0.008121649,0.041597307,-0.0815164,-0.074553326,-2.553023,0.045594826,0.0691618,-0.088856444,0.020083081,0.002761919,-0.022908129,0.043531567,-0.34952635,-0.0668133,-0.076314464,0.075349785,0.100398384,0.25256166,-0.036073618,-0.12629405,0.018918976,0.028861804,0.034955405,0.017331753,-0.039124954,-0.091200665,0.011798605,-0.10112415,-0.061284497,-0.040428594,-0.045138393,-0.011544414,0.07862225,-0.06496215,0.014978081,-0.045452736,-0.0138773415,0.028316572,0.10436088,0.16442868,204
